Product Name,OrderCount,TotalQuantity,TotalSales,TotalProfit,AvgPrice,Cluster_DBSCAN
"Acco Binding Machine, Recycled",35,133,5563.46,954.59,42.287,0
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",5,19,66.03,30.2815,3.408,0
Acco D-Ring Binder w/DublLock,9,31,235.18,-102.8378,8.076888888888888,0
"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",10,39,287.868,64.1445,7.4052999999999995,0
Acco Economy Flexible Poly Round Ring Binder,4,6,11.484,-5.742,2.088,0
Acco Expandable Hanging Binders,4,11,38.918,1.0208000000000004,4.147,0
"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",10,36,410.004,111.2868,11.5517,0
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",6,28,122.18,7.450000000000001,4.47,0
Acco Glide Clips,1,5,19.6,9.604,3.9200000000000004,0
Acco Hanging Data Binders,7,17,41.91,8.2296,2.5581428571428573,0
"Acco Hole Reinforcements, Clear",37,119,574.056,-11.754000000000001,5.303999999999999,0
"Acco Hole Reinforcements, Durable",36,118,721.5616,214.6516,5.692355555555555,0
"Acco Hole Reinforcements, Economy",33,106,584.4816,48.8316,5.720872727272727,0
"Acco Hole Reinforcements, Recycled",36,106,637.5563999999999,208.7364,6.0736,0
Acco Hot Clips Clips to Go,6,23,67.116,25.497500000000002,2.8513333333333333,0
"Acco Index Tab, Clear",75,228,1461.8054,309.1154,6.625634666666667,0
"Acco Index Tab, Durable",39,127,970.884,160.054,7.350666666666666,0
"Acco Index Tab, Economy",36,120,1010.7552,338.8752,8.5344,0
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",7,37,175.388,73.8674,4.765142857142857,0
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",4,23,62.946,-0.16139999999999866,2.421,0
"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",5,17,67.25,19.6908,3.9812,0
Acco Perma 2700 Stacking Storage Drawers,4,8,208.18,5.948,26.766,0
Acco Perma 3000 Stacking Storage Drawers,6,21,373.44399999999996,16.5742,18.182666666666666,0
Acco Perma 4000 Stacking Storage Drawers,11,31,457.96799999999996,30.044,14.763636363636364,0
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",5,24,59.817,13.1826,2.6670000000000003,0
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",8,37,63.627,-13.906500000000001,1.666875,0
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",11,45,131.097,18.4125,2.6335454545454544,0
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",9,28,91.44,34.8996,3.2173333333333334,0
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",4,10,85.25500000000001,8.670000000000002,7.586250000000001,0
Acco Side-Punched Conventional Columnar Pads,4,15,41.64,-7.8075,2.776,0
"Acco Six-Outlet Power Strip, 4' Cord Length",9,41,343.076,81.5452,8.428444444444445,0
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,4,14,448.902,-7.0416000000000025,30.807,0
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",3,8,452.96500000000003,105.48499999999999,55.845,0
Acco Suede Grain Vinyl Round Ring Binder,8,29,38.641999999999996,-4.8928,1.28575,0
Acco Translucent Poly Ring Binders,8,31,91.728,16.286399999999997,3.2175,0
Accohide Poly Flexible Ring Binders,8,34,43.758,-19.822000000000003,1.7297500000000001,0
"Accos Clamps, 12 Pack",16,69,928.5242999999999,-137.7857,13.80575625,0
"Accos Clamps, Assorted Sizes",14,52,749.496,157.416,14.185285714285714,0
"Accos Clamps, Bulk Pack",22,76,1317.84,490.71000000000004,16.487681818181816,0
"Accos Clamps, Metal",16,54,838.5,247.54,15.6203125,0
"Accos Paper Clips, Assorted Sizes",38,120,1259.1615,-19.988499999999995,10.376276315789474,0
"Accos Paper Clips, Bulk Pack",15,49,553.9392,72.3792,10.437493333333332,0
"Accos Paper Clips, Metal",15,60,587.741,-31.138999999999996,10.925666666666666,0
"Accos Push Pins, 12 Pack",13,41,372.60450000000003,50.1945,9.207,0
"Accos Push Pins, Assorted Sizes",19,76,689.5119,-45.1281,9.2988,0
"Accos Push Pins, Bulk Pack",18,64,711.7704,114.2004,10.537755555555556,0
"Accos Push Pins, Metal",18,50,575.84,129.82,11.766222222222222,0
"Accos Rubber Bands, 12 Pack",16,52,540.3294,20.309399999999997,10.7869875,0
"Accos Rubber Bands, Assorted Sizes",14,54,501.615,45.255,9.783342857142857,0
"Accos Rubber Bands, Bulk Pack",15,45,599.368,233.578,12.417333333333334,0
"Accos Rubber Bands, Metal",21,72,989.688,237.58800000000002,13.837333333333333,0
"Accos Staples, 12 Pack",20,71,592.352,128.282,8.3732,0
"Accos Staples, Assorted Sizes",22,81,452.592,62.852000000000004,5.878727272727272,0
"Accos Staples, Bulk Pack",13,45,291.489,17.269000000000002,6.760923076923077,0
"Accos Staples, Metal",17,62,575.4555,-28.504499999999997,8.704058823529412,0
"Accos Thumb Tacks, 12 Pack",18,62,583.395,3.785000000000003,10.560833333333333,0
"Accos Thumb Tacks, Assorted Sizes",21,69,637.0812,-21.278799999999997,8.969366666666668,0
"Accos Thumb Tacks, Bulk Pack",15,51,489.9264,21.8964,9.99856,0
"Accos Thumb Tacks, Metal",11,32,352.36,25.53,10.789090909090909,0
"Acme 10"" Easy Grip Assistive Scissors",8,26,448.76800000000003,129.722,17.09175,0
Acme Box Cutter Scissors,6,31,306.9,72.2238,9.889000000000001,0
"Acme Box Cutter, Easy Grip",20,77,2482.146,245.28600000000003,31.58856,0
"Acme Box Cutter, High Speed",19,66,1959.174,636.294,29.358,0
"Acme Box Cutter, Serrated",18,77,1533.18,-81.86,22.89777777777778,0
"Acme Box Cutter, Steel",13,41,1097.3999999999999,25.259999999999994,25.849230769230772,0
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",3,7,45.144,10.1916,6.384,0
Acme Design Stainless Steel Bent Scissors,3,13,88.92,24.0084,6.84,0
Acme Elite Stainless Steel Scissors,5,12,95.076,21.0168,7.6728,0
Acme Forged Steel Scissors with Black Enamel Handles,8,32,279.3,67.7768,8.8445,0
Acme Galleria Hot Forged Steel Scissors with Colored Handles,3,13,195.052,49.8641,14.681333333333333,0
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",7,36,458.7,103.416,12.70857142857143,0
Acme Kleen Earth Office Shears,5,12,44.232,11.1744,3.5696,0
Acme Kleencut Forged Steel Scissors,3,7,35.587999999999994,7.462,4.974666666666667,0
"Acme Letter Opener, Easy Grip",24,84,2363.1653,683.2453,26.586891666666663,0
"Acme Letter Opener, High Speed",9,30,644.7821,67.1321,24.044922222222223,0
"Acme Letter Opener, Serrated",19,68,1416.0939,301.64390000000003,20.579068421052632,0
"Acme Letter Opener, Steel",28,110,2442.1340999999998,445.4241,23.754975,0
Acme Office Executive Series Stainless Steel Trimmers,7,21,159.402,26.2242,7.835428571428571,0
Acme Preferred Stainless Steel Scissors,4,16,90.88,26.3552,5.68,0
Acme Rosewood Handle Letter Opener,3,12,43.67,-3.4936000000000003,3.7053333333333334,0
"Acme Ruler, Easy Grip",16,43,582.6496,-26.140399999999996,13.9308,0
"Acme Ruler, High Speed",18,80,1002.043,-95.057,13.024516666666667,0
"Acme Ruler, Serrated",13,61,583.6478999999999,13.387899999999998,10.03686923076923,0
"Acme Ruler, Steel",17,66,837.9885,141.1485,13.346029411764706,0
"Acme Scissors, Easy Grip",20,78,1616.1134,240.29340000000002,20.831690000000002,0
"Acme Scissors, High Speed",20,76,1602.72,162.96,21.327199999999998,0
"Acme Scissors, Serrated",28,96,1861.974,111.434,19.30924285714286,0
"Acme Scissors, Steel",17,60,1129.806,245.346,20.154494117647058,0
Acme Serrated Blade Letter Opener,2,5,13.992,-1.7489999999999999,2.862,0
"Acme Shears, Easy Grip",21,69,2229.105,-247.695,34.29455238095238,0
"Acme Shears, High Speed",15,67,2646.592,666.852,36.88533333333333,0
"Acme Shears, Serrated",20,70,2335.5066,-78.69340000000001,34.39779,0
"Acme Shears, Steel",14,37,1272.456,84.906,34.676657142857145,0
Acme Softgrip Scissors,4,23,166.056,33.1298,7.3260000000000005,0
Acme Stainless Steel Office Snips,4,13,81.424,12.4317,6.543,0
Acme Tagit Stainless Steel Antibacterial Scissors,6,22,196.02,37.026,8.91,0
Acme Titanium Bonded Scissors,5,13,102.0,20.23,7.82,0
"Acme Trimmer, Easy Grip",20,78,2955.722,152.72200000000004,33.9416,0
"Acme Trimmer, High Speed",20,63,2437.04,614.24,38.0416,0
"Acme Trimmer, Serrated",21,71,2341.1264,-19.063599999999994,32.408076190476194,0
"Acme Trimmer, Steel",29,79,2620.9148,317.2548,32.29749655172414,0
Acme Value Line Scissors,10,22,76.64999999999999,20.44,3.431,0
Acrylic Self-Standing Desk Frames,8,37,93.984,32.7342,2.46975,0
"Adams ""While You Were Out"" Message Pads",5,24,72.848,31.400000000000002,3.0143999999999997,0
"Adams Phone Message Book, 200 Message Capacity, 8 1/16 x 11",8,33,227.04,104.4384,6.88,0
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",3,14,94.928,43.1364,6.514666666666667,0
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",7,32,172.672,72.70400000000001,5.517714285714285,0
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",10,24,132.888,60.9168,5.6448,0
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",7,28,223.44,111.72,7.9799999999999995,0
"Adams Telephone Message Books, 5 1/4 x 11",5,15,80.936,32.918,5.0736,0
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",3,8,40.896,16.3584,5.301333333333333,0
Adjustable Depth Letter/Legal Cart,11,45,7730.196,1932.549,169.36266666666668,0
Adjustable Personal File Tote,5,18,270.24800000000005,53.3984,14.9776,0
Adtran 1202752G1,5,18,1990.6419999999998,312.4552,105.83159999999998,0
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",4,18,1051.776,277.2864,56.772,0
"Advantus Clamps, 12 Pack",19,55,845.9567999999999,80.4168,15.399663157894736,0
"Advantus Clamps, Assorted Sizes",26,112,1376.6976,-114.20239999999998,12.18586153846154,0
"Advantus Clamps, Bulk Pack",15,57,887.7901,280.0501,15.363413333333334,0
"Advantus Clamps, Metal",19,46,668.8039,78.7239,12.950215789473685,0
"Advantus Clock, Black",19,70,2685.1275,484.32750000000004,41.102984210526316,0
"Advantus Clock, Duo Pack",18,71,2861.4775,105.4375,43.25611111111111,0
"Advantus Clock, Durable",17,56,2233.776,96.596,41.394352941176464,0
"Advantus Clock, Erganomic",9,26,1090.218,56.208,42.78633333333333,0
"Advantus Door Stop, Black",22,79,2739.6252,460.4652,34.02494090909091,0
"Advantus Door Stop, Duo Pack",15,51,1748.8908000000001,4.000800000000012,33.72732,0
"Advantus Door Stop, Durable",22,68,1636.134,7.914000000000005,28.294909090909094,0
"Advantus Door Stop, Erganomic",29,104,3394.515,175.315,34.54370689655172,0
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",5,28,822.738,311.7744,29.6928,0
"Advantus Frame, Black",18,67,4881.872,-308.75800000000004,76.54933333333332,0
"Advantus Frame, Duo Pack",15,55,4453.870800000001,916.2708,86.44862666666667,0
"Advantus Frame, Durable",22,77,6335.7875,-205.76250000000002,80.04738636363636,0
"Advantus Frame, Erganomic",20,65,5416.4006,1402.6006,89.69416,0
"Advantus Light Bulb, Black",25,79,984.5004,192.9604,12.975924,0
"Advantus Light Bulb, Duo Pack",20,58,882.365,-17.965,15.06395,0
"Advantus Light Bulb, Durable",21,73,972.249,80.229,13.726142857142857,0
"Advantus Light Bulb, Erganomic",19,71,858.5563000000001,-66.5437,12.063247368421054,0
Advantus Map Pennant Flags and Round Head Tacks,6,25,87.69,20.54,3.686666666666667,0
Advantus Motivational Note Cards,5,20,227.94,94.32,11.528,0
Advantus Panel Wall Acrylic Frame,5,20,87.52,25.162,4.3759999999999994,0
Advantus Panel Wall Certificate Holder - 8.5x11,6,23,270.84,108.092,11.386666666666665,0
"Advantus Paper Clips, Assorted Sizes",47,139,1377.594,147.12400000000002,9.456614583333334,0
"Advantus Paper Clips, Bulk Pack",18,48,497.8435,42.353500000000004,9.783861111111111,0
"Advantus Paper Clips, Metal",17,55,625.1582000000001,106.4282,11.540905882352941,0
"Advantus Photo Frame, Black",21,96,3854.8248,-194.90519999999998,41.534638095238094,0
"Advantus Photo Frame, Duo Pack",24,76,3007.368,854.448,40.848166666666664,0
"Advantus Photo Frame, Durable",16,51,1891.7116,64.7716,35.51751875,0
"Advantus Photo Frame, Erganomic",22,80,3188.88,1007.04,42.45272727272727,0
Advantus Plastic Paper Clips,10,47,225.0,102.8,4.7,0
Advantus Push Pins,7,27,54.936,20.2086,2.0554285714285716,0
"Advantus Push Pins, 12 Pack",17,43,495.8646,181.0746,11.623376470588235,0
"Advantus Push Pins, Aluminum Head",5,24,139.44,43.2264,5.8100000000000005,0
"Advantus Push Pins, Assorted Sizes",19,79,763.092,160.042,9.81663157894737,0
"Advantus Push Pins, Bulk Pack",11,36,407.3589,66.2989,10.752536363636365,0
"Advantus Push Pins, Metal",12,53,575.9375,36.6275,11.150958333333334,0
Advantus Rolling Drawer Organizers,6,31,1115.92,233.18880000000001,34.632,0
Advantus Rolling Storage Box,10,27,428.75,90.7235,15.778,0
"Advantus Rubber Bands, 12 Pack",19,58,766.6638,53.06380000000001,12.504031578947368,0
"Advantus Rubber Bands, Assorted Sizes",17,65,677.9448,123.0248,11.064070588235294,0
"Advantus Rubber Bands, Bulk Pack",20,70,930.1460000000001,191.696,13.106100000000001,0
"Advantus Rubber Bands, Metal",21,68,832.7707,87.1507,12.723471428571429,0
Advantus SlideClip Paper Clips,3,15,46.376000000000005,19.778,3.1826666666666665,0
"Advantus Stacking Tray, Black",21,76,1545.3621,415.2621,20.804185714285715,0
"Advantus Stacking Tray, Durable",16,74,1672.7369999999999,342.777,21.72778125,0
"Advantus Stacking Tray, Erganomic",36,131,2407.9029,107.66290000000002,18.430366666666668,0
"Advantus Staples, 12 Pack",16,53,411.66859999999997,-27.511400000000005,7.48811875,0
"Advantus Staples, Assorted Sizes",19,50,345.8345,59.9045,6.451184210526316,0
"Advantus Staples, Bulk Pack",17,67,534.131,80.40100000000001,7.961870588235294,0
"Advantus Staples, Metal",22,75,688.5192,123.86919999999999,9.080127272727273,0
Advantus T-Pin Paper Clips,5,16,64.042,20.0244,3.9688000000000003,0
"Advantus Thumb Tacks, 12 Pack",18,66,622.0522,-50.9078,9.540766666666666,0
"Advantus Thumb Tacks, Assorted Sizes",18,67,571.136,7.625999999999998,8.995555555555555,0
"Advantus Thumb Tacks, Bulk Pack",23,78,787.9482,58.9182,10.159017391304348,0
"Advantus Thumb Tacks, Metal",16,38,424.096,28.776,10.7395,0
Airmail Envelopes,6,19,1359.6660000000002,514.4909,72.73933333333333,0
Akro Stacking Bins,6,13,91.524,-6.9432,7.101,0
Akro-Mils 12-Gallon Tote,4,13,113.202,21.548099999999998,8.937,0
"Alliance Big Bands Rubber Bands, 12/Pack",4,15,29.7,0.0,1.98,0
Alliance Rubber Bands,2,8,13.440000000000001,0.5376000000000001,1.6800000000000002,0
"Alliance Super-Size Bands, Assorted Sizes",4,27,197.612,-10.3474,7.391,0
Alphabetical Labels for Top Tab Filing,9,37,518.0,244.2,13.813333333333333,0
Aluminum Document Frame,5,22,244.39999999999998,56.211999999999996,11.2424,0
Aluminum Screw Posts,11,41,354.032,41.202,8.601090909090908,0
AmazonBasics 3-Button USB Wired Mouse,5,14,88.074,32.2938,6.4308,0
American Pencil,6,21,48.93,14.189699999999998,2.33,0
"Ames Business Envelopes, Recycled",30,91,1052.3424,241.9724,12.166906666666668,0
"Ames Business Envelopes, Security-Tint",20,82,971.9496,56.1996,12.34152,0
"Ames Business Envelopes, Set of 50",15,66,676.296,-54.20400000000001,13.231,0
"Ames Clasp Envelope, Recycled",14,34,166.8,20.38,5.2,0
"Ames Clasp Envelope, Security-Tint",21,61,401.152,8.552000000000001,6.71847619047619,0
"Ames Clasp Envelope, Set of 50",19,53,317.232,109.302,5.632421052631579,0
"Ames Clasp Envelope, with clear poly window",16,52,407.94100000000003,-59.04899999999999,8.032625,0
Ames Color-File Green Diamond Border X-ray Mailers,4,18,1360.4759999999999,559.3068,79.781,0
"Ames Interoffice Envelope, Recycled",14,47,1554.036,62.11599999999998,31.465542857142857,0
"Ames Interoffice Envelope, Security-Tint",18,76,2840.112,656.572,38.104000000000006,0
"Ames Interoffice Envelope, Set of 50",10,52,1255.84,67.56999999999996,26.0192,0
"Ames Interoffice Envelope, with clear poly window",19,56,2210.786,169.63600000000002,39.01336842105263,0
"Ames Mailers, Recycled",23,80,1926.078,48.587999999999994,23.039739130434782,0
"Ames Mailers, Security-Tint",15,67,1677.2625,360.1125,26.809,0
"Ames Mailers, Set of 50",16,59,1831.935,324.735,30.6965625,0
"Ames Mailers, with clear poly window",18,53,1695.083,364.433,30.235472222222224,0
"Ames Manila Envelope, Recycled",14,50,825.282,133.232,16.8345,0
"Ames Manila Envelope, Security-Tint",27,90,2012.1549,602.3049,22.354266666666668,0
"Ames Manila Envelope, Set of 50",17,48,1027.104,84.804,20.72023529411765,0
"Ames Manila Envelope, with clear poly window",12,39,857.7215,203.9415,22.72515,0
"Ames Peel and Seal, Recycled",26,91,1279.4518,306.5518,14.326103846153845,0
"Ames Peel and Seal, Security-Tint",17,63,955.0255,50.22549999999999,15.321264705882353,0
"Ames Peel and Seal, Set of 50",26,82,1024.4612,-129.6188,13.277088461538462,0
"Ames Peel and Seal, with clear poly window",18,56,1004.796,238.946,18.278000000000002,0
Ampad #10 Peel & Seel Holiday Envelopes,3,12,53.760000000000005,25.8048,4.48,0
"Ampad Evidence Wirebond Steno Books, 6"" x 9""",4,14,27.468,11.2924,1.9620000000000002,0
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8,25,106.72200000000001,47.187,4.1895,0
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾ x 11",5,20,124.8,56.16,6.24,0
"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",4,9,38.136,15.663,4.313,0
Anderson Hickey Conga Table Tops & Accessories,2,5,51.782,-17.514499999999998,10.661,0
"Angle-D Binders with Locking Rings, Label Holders",10,42,197.82999999999998,35.332,4.891,0
Angle-D Ring Binders,6,14,39.384,-1.9691999999999994,2.5526666666666666,0
Anker 24W Portable Micro USB Car Charger,2,8,61.544,14.0672,7.693,0
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,6,22,339.83,23.1884,15.325666666666665,0
Anker Astro 15000mAh USB Portable Charger,5,13,599.88,-23.995200000000004,45.9908,0
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,4,9,147.926,-31.984,15.992,0
Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,5,26,499.75,99.5502,18.3908,0
Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,4,17,491.83599999999996,32.989,28.490499999999997,0
"Apple Audio Dock, Cordless",13,31,4727.259,381.639,156.03023076923077,0
"Apple Audio Dock, Full Size",22,67,8833.3742,944.4342,136.55706363636364,0
"Apple Audio Dock, VoIP",23,91,12014.7676,1317.3475999999998,126.7838,0
"Apple Audio Dock, with Caller ID",26,74,10581.9386,1218.3686,143.73936153846154,0
Apple EarPods with Remote and Mic,4,10,251.91,50.382000000000005,25.191,0
"Apple Headset, Cordless",25,97,5667.658,729.568,59.82246,0
"Apple Headset, Full Size",28,98,6138.1984999999995,1476.5285,58.992124999999994,0
"Apple Headset, VoIP",23,74,4349.4105,209.68050000000002,56.702739130434786,0
"Apple Headset, with Caller ID",24,82,4864.464,374.624,56.98,0
"Apple Office Telephone, Cordless",27,94,5057.517,2007.417,52.99,0
"Apple Office Telephone, Full Size",21,75,4158.6279,701.7579000000001,51.8612,0
"Apple Office Telephone, VoIP",24,94,4602.048,1016.778,49.25447916666667,0
"Apple Office Telephone, with Caller ID",26,70,3179.5712000000003,382.5112,47.8971076923077,0
"Apple Signal Booster, Cordless",27,102,10642.455,13.814999999999984,105.29666666666668,0
"Apple Signal Booster, Full Size",22,77,7568.308,-1024.1520000000003,101.783,0
"Apple Signal Booster, VoIP",15,52,6335.62,559.67,119.81462666666667,0
"Apple Signal Booster, with Caller ID",23,96,10212.31,-425.02000000000004,105.57697826086957,0
"Apple Smart Phone, Cordless",20,52,27163.646999999997,5450.217,522.1902,0
"Apple Smart Phone, with Caller ID",9,38,16754.023,3196.6229999999996,484.0287777777778,0
"Apple Speaker Phone, Cordless",23,73,6186.8165,-406.10350000000005,92.4734347826087,0
"Apple Speaker Phone, Full Size",17,49,4535.076,385.38599999999997,98.57267647058823,0
"Apple Speaker Phone, VoIP",25,101,10687.6305,3268.3905,98.712,0
"Apple Speaker Phone, with Caller ID",18,65,6070.059,350.579,96.10549999999999,0
Apple iPhone 5,6,24,12996.6,1611.5783999999999,519.864,0
Apple iPhone 5C,4,15,1339.866,229.977,84.9915,0
Apple iPhone 5S,4,11,4901.914000000001,512.991,455.992,0
